name,studio_price,one_bed_price,two_bed_price,city,state
South Scottsdale,,,,Scottsdale,AZ
Flushing,,,,New York,NY
Preston Hollow,,,,Dallas,TX
Canarsie,,,,New York,NY
Little Village,,,,Chicago,IL
Estrella,,,,Phoenix,AZ
Canoga Park,,,,Los Angeles,CA
Boyle Heights,,,,Los Angeles,CA
Sylmar,,,,Los Angeles,CA
Downtown,,,,San Jose,CA
Ahwatukee Foothills,,,,Phoenix,AZ
West,,,,Arlington,TX
Pacoima,,,,Los Angeles,CA
Gravesend,,,,New York,NY
Evergreen,,,,San Jose,CA
Sharpstown,,,,Houston,TX
San Pedro,,,,Los Angeles,CA
North Valley,,,,San Jose,CA
Sheepshead Bay,,,,New York,NY
Murray Hill,,,,New York,NY
Willow Glen,,,,San Jose,CA
North Raleigh,,,,Raleigh,NC
South Ozone Park,,,,New York,NY
Southwest,,,,Chula Vista,CA
Northridge,,,,Los Angeles,CA
West Anaheim,,,,Anaheim,CA
Forest Hills,,,,New York,NY
East Village,,,,New York,NY
Eldridge - West Oaks,,,,Houston,TX
Cordova-Appling,,,,Memphis,TN
Blossom Valley,,,,San Jose,CA
Jackson Heights,,,,New York,NY
Northwest Raleigh,,,,Raleigh,NC
Far Rockaway,,,,New York,NY
Ridgewood,,,,New York,NY
West Rogers Park,,,,Chicago,IL
Reseda,,,,Los Angeles,CA
Mira Mesa,,,,San Diego,CA
East Elmhurst,,,,New York,NY
Midtown,,,,Memphis,TN
Cambrian Park,,,,San Jose,CA
Hickory Ridge-South Riverdale,,,,Memphis,TN
Panorama City,,,,Los Angeles,CA
Princess Anne,,,,Virginia Beach,VA
Midwood,,,,New York,NY
Central Southwest,,,,Houston,TX
North Hills,,,,Los Angeles,CA
South Dorchester,,,,Boston,MA
Roxbury,,,,Boston,MA
South Belt - Ellington,,,,Houston,TX
Southeast Colorado Springs,,,,Colorado Springs,CO
Clear Lake,,,,Houston,TX
Northside-Northline,,,,Houston,TX
Park Slope,,,,New York,NY
Cedar Crest,,,,Dallas,TX
Oxford Circle,,,,Philadelphia,PA
East Colorado Springs,,,,Colorado Springs,CO
Northeast Raleigh,,,,Raleigh,NC
Green Run,,,,Virginia Beach,VA
Winnetka Heights,,,,Dallas,TX
Wilmington,,,,Los Angeles,CA
Mission,,,,San Francisco,CA
Archer Heights,,,,Chicago,IL
Bath Beach,,,,New York,NY
Northeast Colorado Springs,,,,Colorado Springs,CO
Central Colorado Springs,,,,Colorado Springs,CO
Raleigh,,,,Memphis,TN
Woodward Park,,,,Fresno,CA
Kingwood Area,,,,Houston,TX
Greater Fondren Southwest,,,,Houston,TX
Central City,,,,Phoenix,AZ
Gramercy,,,,New York,NY
South Austin,,,,Chicago,IL
Brownsville,,,,New York,NY
Lower Valley,,,,El Paso,TX
Encino,,,,Los Angeles,CA
Ozone Park,,,,New York,NY
The Heights,,,,Jersey City,NJ
Fresno High Roeding,,,,Fresno,CA
Rogers Park,,,,Chicago,IL
Albany Park,,,,Chicago,IL
Downtown,,,,Memphis,TN
Kensington,,,,New York,NY
Kempsville,,,,Virginia Beach,VA
Flatlands,,,,New York,NY
Richmond Hill,,,,New York,NY
Encanto,,,,Phoenix,AZ
Little Havana,,,,Miami,FL
Northwest,,,,Chula Vista,CA
Central City,,,,Los Angeles,CA
Maspeth,,,,New York,NY
Westwood,,,,Los Angeles,CA
Queens Village,,,,New York,NY
Flagami,,,,Miami,FL
Lake Highlands,,,,Dallas,TX
Hoover,,,,Fresno,CA
Bay Ridge,,,,New York,NY
Lake View,,,,Chicago,IL
Lone Mountain,,,,Las Vegas,NV
Casas Adobes,,,,Tucson,AZ
Northeast Anaheim,,,,Anaheim,CA
Englewood,,,,Chicago,IL
Centennial Hills,,,,Las Vegas,NV
Fairgrounds,,,,San Jose,CA
Granada Hills,,,,Los Angeles,CA
Gresham,,,,Chicago,IL
Valencia,,,,Santa Clarita,CA
Golfcrest - Bellfort - Reveille,,,,Houston,TX
Michael Way,,,,Las Vegas,NV
Woodside,,,,New York,NY
Mclane,,,,Fresno,CA
Santa Teresa,,,,San Jose,CA
Greater Uptown,,,,Houston,TX
Highland Park,,,,Los Angeles,CA
Bayside,,,,New York,NY
Brighton Park,,,,Chicago,IL
Southwest,,,,Arlington,TX
Coney Island,,,,New York,NY
Woodlake - Briarmeadow,,,,Houston,TX
Southwest Anaheim,,,,Anaheim,CA
Central,,,,El Paso,TX
University City,,,,San Diego,CA
Oak Lawn,,,,Dallas,TX
Summerlin North,,,,Las Vegas,NV
Hamilton Heights,,,,New York,NY
Rancho Penasquitos,,,,San Diego,CA
Winnetka,,,,Los Angeles,CA
Sunnyside,,,,New York,NY
Chelsea,,,,New York,NY
Mid City West,,,,Los Angeles,CA
Brighton,,,,Boston,MA
Greenville,,,,Jersey City,NJ
Alameda - West Flagler,,,,Miami,FL
Memorial,,,,Houston,TX
Woodland Hills,,,,Los Angeles,CA
El Sereno,,,,Los Angeles,CA
Greenwich Village,,,,New York,NY
South Shore,,,,Chicago,IL
Palms,,,,Los Angeles,CA
Almaden Valley,,,,San Jose,CA
Desert View,,,,Phoenix,AZ
Gulfton,,,,Houston,TX
Portage Park,,,,Chicago,IL
Briargate,,,,Colorado Springs,CO
Richmond,,,,Philadelphia,PA
Salem,,,,Virginia Beach,VA
Rego Park,,,,New York,NY
Carmel Valley,,,,San Diego,CA
West Adams,,,,Los Angeles,CA
Jefferson Park,,,,Chicago,IL
Allapattah,,,,Miami,FL
Kew Gardens Hills,,,,New York,NY
Valley High-North Laguna,,,,Sacramento,CA
Rancho Bernardo,,,,San Diego,CA
Canyon Country,,,,Santa Clarita,CA
Newhall,,,,Santa Clarita,CA
Anaheim Hills,,,,Anaheim,CA
Humboldt Park,,,,Chicago,IL
Bay Area,,,,Corpus Christi,TX
Ocean Parkway,,,,New York,NY
Ocean Hill,,,,New York,NY
Southeast Anaheim,,,,Anaheim,CA
Montbello,,,,Denver,CO
Greater Heights,,,,Houston,TX
Parkchester,,,,New York,NY
River Oaks-Kirby-Balmoral,,,,Memphis,TN
Oak Forest - Garden Oaks,,,,Houston,TX
North Dallas,,,,Dallas,TX
Frankford,,,,Philadelphia,PA
East Boston,,,,Boston,MA
Harbor Gateway,,,,Los Angeles,CA
Parkway Village-Oakhaven,,,,Memphis,TN
Mar Vista,,,,Los Angeles,CA
Coral Way,,,,Miami,FL
Back of the Yards,,,,Chicago,IL
Watts,,,,Los Angeles,CA
South End,,,,Tacoma,WA
Mid Wilshire,,,,Los Angeles,CA
Bayside,,,,Virginia Beach,VA
Briarforest Area,,,,Houston,TX
Lawncrest,,,,Philadelphia,PA
North,,,,Arlington,TX
Gage Park,,,,Chicago,IL
Studio City,,,,Los Angeles,CA
North Ironbound,,,,Newark,NJ
Greater Greenspoint,,,,Houston,TX
Crenshaw,,,,Los Angeles,CA
Cragin,,,,Chicago,IL
North Cheyenne,,,,Las Vegas,NV
Arleta,,,,Los Angeles,CA
Bridgeport,,,,Chicago,IL
Lake View East,,,,Chicago,IL
Laveen,,,,Phoenix,AZ
Melrose,,,,New York,NY
North Park,,,,San Diego,CA
East Reno,,,,Reno,NV
Edenvale - Seven Trees,,,,San Jose,CA
Silver Lake,,,,Los Angeles,CA
Morris Park,,,,New York,NY
Green Valley North,,,,Henderson,NV
Woodhaven,,,,New York,NY
Charleston Heights,,,,Las Vegas,NV
Venice,,,,Los Angeles,CA
Kalihi-Palama,,,,Honolulu,HI
Chatsworth,,,,Los Angeles,CA
Berryessa,,,,San Jose,CA
Wakefield,,,,New York,NY
Westchester,,,,Los Angeles,CA
Downtown,,,,Los Angeles,CA
Dyker Heights,,,,New York,NY
Hyde Park,,,,Los Angeles,CA
South Loop,,,,Chicago,IL
Addicks Park Ten,,,,Houston,TX
Shelby Forest-Frayser,,,,Memphis,TN
Powers,,,,Colorado Springs,CO
Hollis,,,,New York,NY
Southwest,,,,Reno,NV
Rancho Charleston,,,,Las Vegas,NV
Brentwood,,,,Los Angeles,CA
Mattapan,,,,Boston,MA
West Lawn,,,,Chicago,IL
Wolf Creek,,,,Dallas,TX
La Sierra,,,,Riverside,CA
St. Albans,,,,New York,NY
West,,,,Fresno,CA
Olney,,,,Philadelphia,PA
Berclair-Highland Heights,,,,Memphis,TN
Southwest Colorado Springs,,,,Colorado Springs,CO
South Boston,,,,Boston,MA
Riverview West,,,,Santa Ana,CA
Lincoln Heights,,,,Los Angeles,CA
Whitney,,,,Las Vegas,NV
Cobbs Creek,,,,Philadelphia,PA
Corona Valley,,,,Eastvale,CA
Throggs Neck,,,,New York,NY
Greater Inwood,,,,Houston,TX
Holmesburg-Torresdale,,,,Philadelphia,PA
Mayfair,,,,Philadelphia,PA
East Las Vegas,,,,Las Vegas,NV
Edgewater Beach,,,,Chicago,IL
Oak Cliff,,,,Dallas,TX
West Hills,,,,Los Angeles,CA
North Central,,,,Pasadena,CA
Fort Greene,,,,New York,NY
Fort Bend - Houston,,,,Houston,TX
14621,,,,Rochester,NY
Del Rey,,,,Los Angeles,CA
Bustleton,,,,Philadelphia,PA
Northwest Anaheim,,,,Anaheim,CA
Whitestone,,,,New York,NY
Little Woods,,,,New Orleans,LA
Mears Corner,,,,Virginia Beach,VA
Glendale,,,,New York,NY
Hyde Park,,,,Boston,MA
Old Brooklyn,,,,Cleveland,OH
Middle Village,,,,New York,NY
M Streets,,,,Dallas,TX
Homecrest,,,,New York,NY
West Raleigh,,,,Raleigh,NC
Kingsessing,,,,Philadelphia,PA
South Corona,,,,Corona,CA
Makiki-Lower Punchbowl-Tantalus,,,,Honolulu,HI
Kingsbridge,,,,New York,NY
Marquette Park,,,,Chicago,IL
The Colony,,,,Anaheim,CA
Hollywood Hills,,,,Los Angeles,CA
Brighton Beach,,,,New York,NY
Juniata Park-Feltonville,,,,Philadelphia,PA
Bronzeville,,,,Chicago,IL
Greenpoint,,,,New York,NY
West Oak Lane,,,,Philadelphia,PA
Torresdale,,,,Philadelphia,PA
Otay Mesa West,,,,San Diego,CA
Downtown,,,,Jersey City,NJ
Gold  Coast,,,,Chicago,IL
Rochdale,,,,New York,NY
Belmont Central,,,,Chicago,IL
Bay Terraces,,,,San Diego,CA
Adams Morgan,1517,1599,2000,Washington,DC
Somerton,,,,Philadelphia,PA
Wynnefield,,,,Philadelphia,PA
Hawaii Kai,,,,Honolulu,HI
La Jolla,,,,San Diego,CA
Sugar House,,,,Salt Lake City,UT
Roslindale,,,,Boston,MA
Poly High District,,,,Long Beach,CA
West Roxbury,,,,Boston,MA
Sawtelle,,,,Los Angeles,CA
Center City West,,,,Philadelphia,PA
Saugus,,,,Santa Clarita,CA
Summerlin South,,,,Las Vegas,NV
Payne Phalen,,,,Saint Paul,MN
The Lakes,,,,Las Vegas,NV
Clinton,,,,New York,NY
Jefferson Park,,,,Los Angeles,CA
Eastex - Jensen Area,,,,Houston,TX
Pacific Beach,,,,San Diego,CA
Tarzana,,,,Los Angeles,CA
Capitol Hill,,,,Seattle,WA
Spring Branch West,,,,Houston,TX
Valley Glen,,,,Los Angeles,CA
South Chicago,,,,Chicago,IL
West Pullman,,,,Chicago,IL
Overbrook,,,,Philadelphia,PA
Prospect Hill,,,,San Antonio,TX
Roxborough,,,,Philadelphia,PA
Westchase,,,,Houston,TX
Bellerose,,,,New York,NY
Gateway - Green Valley Ranch,,,,Denver,CO
Westwood,,,,Cincinnati,OH
Eastside-ENACT,,,,Tacoma,WA
Financial District,,,,New York,NY
Neartown - Montrose,,,,Houston,TX
Alum Rock-East Foothills,,,,San Jose,CA
South End,,,,Boston,MA
Little Haiti,,,,Miami,FL
West End,,,,Tacoma,WA
Glassell Park,,,,Los Angeles,CA
West Side,,,,Long Beach,CA
Allston,,,,Boston,MA
North Valleys,,,,Reno,NV
Flatiron District,,,,New York,NY
Alexandria Wrest,,,,Alexandria,VA
Southeast Boise,,,,Boise,ID
Tierrasanta,,,,San Diego,CA
Briarwood,,,,New York,NY
Elmwood,,,,Philadelphia,PA
Pico-Union,,,,Los Angeles,CA
Haddington-Carroll Park,,,,Philadelphia,PA
Jamaica Plain,,,,Boston,MA
Pennsport-Whitman-Queen,,,,Philadelphia,PA
Rhawnhurst,,,,Philadelphia,PA
Northeast,,,,Anchorage,AK
Fairhill,,,,Philadelphia,PA
Northshore,,,,Houston,TX
Reynolds Corners,,,,Toledo,OH
American University Park,1571,1599,1894,Washington,DC
South Dallas,,,,Dallas,TX
Fort Hamilton,,,,New York,NY
Auburndale,,,,New York,NY
Wharton-Hawthorne-Bella Vista,,,,Philadelphia,PA
Brickell,,,,Miami,FL
McCully-Moiliili,,,,Honolulu,HI
Center City East,,,,Philadelphia,PA
Wrigley,,,,Long Beach,CA
Garfield Ridge,,,,Chicago,IL
Greater Eastside,,,,Saint Paul,MN
North Dorchester,,,,Boston,MA
Spring Branch Central,,,,Houston,TX
Journal Square,,,,Jersey City,NJ
Eagle Rock,,,,Los Angeles,CA
Los Feliz,,,,Los Angeles,CA
Indian River,,,,Chesapeake,VA
Ravenswood,,,,Chicago,IL
Eagle Ford,,,,Dallas,TX
Nevada-Lidgerwood,,,,Spokane,WA
North Linden,,,,Columbus,OH
Howard Beach,,,,New York,NY
North Austin,,,,Austin,TX
Pocket,,,,Sacramento,CA
Harvard Heights,,,,Los Angeles,CA
Washington Avenue Coalition - Memorial Park,,,,Houston,TX
West Englewood,,,,Chicago,IL
Meadowview,,,,Sacramento,CA
Northwest Colorado Springs,,,,Colorado Springs,CO
Forest Park,,,,Springfield,MA
Northside Village,,,,Houston,TX
Academy Gardens,,,,Philadelphia,PA
Bernal Heights,,,,San Francisco,CA
Aliamanu-Salt Lake-Foster Village,,,,Honolulu,HI
University District,,,,Seattle,WA
College Point,,,,New York,NY
Paradise Hills,,,,Albuquerque,NM
Spring Branch East,,,,Houston,TX
Clairemont Mesa East,,,,San Diego,CA
West Valley,,,,Boise,ID
Laurelton,,,,New York,NY
Westgate Hts,,,,Albuquerque,NM
Ramona,,,,Riverside,CA
North End,,,,Saint Paul,MN
Highland Hills,,,,San Antonio,TX
Acres Home,,,,Houston,TX
South Boulevard-Park Row Historic,,,,Dallas,TX
Landmark-Van Dom,,,,Alexandria,VA
San Ysidro,,,,San Diego,CA
Waikiki,,,,Honolulu,HI
University City,,,,Philadelphia,PA
Abbott Loop,,,,Anchorage,AK
Rosedale,,,,New York,NY
Winchester,,,,Las Vegas,NV
South Tacoma,,,,Tacoma,WA
Urbandale-Parkdale,,,,Dallas,TX
Pelham Bay,,,,New York,NY
Creston,,,,Grand Rapids,MI
Ogontz,,,,Philadelphia,PA
Northwest,,,,Reno,NV
Woodbridge,,,,Irvine,CA
Great Bridge,,,,Chesapeake,VA
Douglaston-Little Neck,,,,New York,NY
Greenwood,,,,New York,NY
Highland,,,,Saint Paul,MN
Echo Park,,,,Los Angeles,CA
North End,,,,Tacoma,WA
Marine Park,,,,New York,NY
Northeast,,,,Reno,NV
Great Neck,,,,Virginia Beach,VA
South Central,,,,Reno,NV
Central,,,,Arlington,TX
Capitol,,,,Madison,WI
Excelsior,,,,San Francisco,CA
North Central,,,,Philadelphia,PA
Powellhurst Gilbert,,,,Portland,OR
Meadowbrook - Allendale,,,,Houston,TX
East Toledo,,,,Toledo,OH
Columbus Circle,,,,New York,NY
Point Breeze,,,,Philadelphia,PA
Harbor City,,,,Los Angeles,CA
Las Tierras,,,,El Paso,TX
Pelham Gardens,,,,New York,NY
West Village,,,,New York,NY
South Norfolk,,,,Chesapeake,VA
Oakland Gardens,,,,New York,NY
West Town,,,,Chicago,IL
Fresh Meadows,,,,New York,NY
North Austin,,,,Chicago,IL
South Philadelphia,,,,Philadelphia,PA
Kew Gardens,,,,New York,NY
Liliha-Kapalama,,,,Honolulu,HI
Central Richmond,,,,San Francisco,CA
Save the Valley 21,,,,El Paso,TX
"Springlake, University Terrace",,,,Shreveport,LA
Otay Ranch,,,,Chula Vista,CA
Eltingville,,,,New York,NY
Clinton Hill,,,,New York,NY
Great Kills,,,,New York,NY
Edison,,,,Fresno,CA
Potomac West,,,,Alexandria,VA
Fenway,,,,Boston,MA
Linda Vista,,,,San Diego,CA
Greater Hobby Area,,,,Houston,TX
Pacific Palisades,,,,Los Angeles,CA
Disston Heights,,,,Saint Petersburg,FL
Forest Hill,,,,Newark,NJ
Hunting Park,,,,Philadelphia,PA
Sand Lake,,,,Anchorage,AK
Liberty City,,,,Miami,FL
Manoa,,,,Honolulu,HI
Hazelwood,,,,Portland,OR
Uptown,,,,Chicago,IL
Fox Chase,,,,Philadelphia,PA
Sixteen Acres,,,,Springfield,MA
Germantown,,,,Philadelphia,PA
Arlanza,,,,Riverside,CA
Greenbrier East,,,,Chesapeake,VA
Northwest,,,,Spokane,WA
Valley Village,,,,Los Angeles,CA
Centennial,,,,Portland,OR
Active Bethel,,,,Eugene,OR
Sunland,,,,Los Angeles,CA
South,,,,Pasadena,CA
Fairmount-Spring Garden,,,,Philadelphia,PA
West Park,,,,Irvine,CA
Pico-Robertson,,,,Los Angeles,CA
West Side,,,,Jersey City,NJ
Northampton,,,,Hampton,VA
Serra Mesa,,,,San Diego,CA
Logan-Fern Rock,,,,Philadelphia,PA
East Germantown,,,,Philadelphia,PA
East Central,,,,Salt Lake City,UT
Anthem,,,,Henderson,NV
Sutton Place,,,,New York,NY
Tujunga,,,,Los Angeles,CA
Near North,,,,Chicago,IL
Girard Estates,,,,Philadelphia,PA
South Park,,,,Houston,TX
Bayview,,,,San Francisco,CA
Westbury,,,,Houston,TX
Brooklyn Heights,,,,New York,NY
West Central,,,,Pasadena,CA
South Side,,,,Toledo,OH
Weequahic,,,,Newark,NJ
Green Valley South,,,,Henderson,NV
Flour Bluff,,,,Corpus Christi,TX
Seminary Hill,,,,Alexandria,VA
Downtown,,,,San Francisco,CA
Lower Peters Canyon,,,,Irvine,CA
19th Ward,,,,Rochester,NY
Castle Hill,,,,New York,NY
West Las Vegas,,,,Las Vegas,NV
East Garfield Park,,,,Chicago,IL
Back Bay,,,,Boston,MA
Porter Ranch,,,,Los Angeles,CA
Mission Hills,,,,Los Angeles,CA
Roseland,,,,Chicago,IL
Northwest Torrance,,,,Torrance,CA
Braeswood Place,,,,Houston,TX
East Central,,,,Pasadena,CA
East Side,,,,Chicago,IL
Cilo Vista,,,,El Paso,TX
Sunnyside,,,,Houston,TX
Central,,,,Tacoma,WA
South of Market,,,,San Francisco,CA
Northwood,,,,Irvine,CA
Hermosa,,,,Chicago,IL
Central Sunset,,,,San Francisco,CA
Five Points,,,,Toledo,OH
Five Oaks - Triple Creek,,,,Beaverton,OR
Old Northwest - West University,,,,Reno,NV
Hellman,,,,Long Beach,CA
Orangecrest,,,,Riverside,CA
Meyerland Area,,,,Houston,TX
Central City East,,,,Los Angeles,CA
University,,,,Riverside,CA
South Reno,,,,Reno,NV
Greater Fifth Ward,,,,Houston,TX
Poplar-Ludlow-Yorktowne,,,,Philadelphia,PA
Westwood,,,,Houston,TX
Deep Creek North,,,,Chesapeake,VA
Bergen-Lafayette,,,,Jersey City,NJ
Battle Creek,,,,Saint Paul,MN
Alleghany West,,,,Philadelphia,PA
North San Jose,,,,San Jose,CA
Scripps Ranch,,,,San Diego,CA
Edgebrook Area,,,,Houston,TX
Strawberry Mansion,,,,Philadelphia,PA
Diamond Head-Kapahulu-St. Louis,,,,Honolulu,HI
Visitacion Valley,,,,San Francisco,CA
Lents,,,,Portland,OR
People Active in Community Effort,,,,San Antonio,TX
Ottawa,,,,Toledo,OH
Sheep Mountain,,,,Las Vegas,NV
Greenway - Upper Kirby Area,,,,Houston,TX
Spring Branch North,,,,Houston,TX
Hampden,,,,Denver,CO
Ost - South Union,,,,Houston,TX
West Brighton,,,,New York,NY
Kalihi Valley,,,,Honolulu,HI
Cal Young,,,,Eugene,OR
Cedarbrook,,,,Philadelphia,PA
Wynwood - Edgewater,,,,Miami,FL
Taylor Ranch,,,,Albuquerque,NM
Elkhorn,,,,Omaha,NE
Heartland Village,,,,New York,NY
Wingate,,,,New York,NY
Clearview,,,,New York,NY
Macalester-Groveland,,,,Saint Paul,MN
West Price HIll,,,,Cincinnati,OH
Okolona,,,,Louisville,KY
East Little York - Homestead,,,,Houston,TX
Westgate,,,,Henderson,NV
Greenbrier West,,,,Chesapeake,VA
Goodyear Heights,,,,Akron,OH
Kings Grant,,,,Virginia Beach,VA
The Plaza,,,,Long Beach,CA
East Tampa,,,,Tampa,FL
Chatham,,,,Chicago,IL
Midtown,,,,New York,NY
McGinley Square,,,,Jersey City,NJ
Braeburn,,,,Houston,TX
Warrendale,,,,Detroit,MI
Turtle Bay,,,,New York,NY
Tule Springs,,,,Las Vegas,NV
Southwest Raleigh,,,,Raleigh,NC
Weston Ranch,,,,Stockton,CA
Parkside,,,,San Francisco,CA
Harder-Tennyson,,,,Hayward,CA
Sunrise,,,,Las Vegas,NV
North Aurora,,,,Aurora,CO
Western Branch North,,,,Chesapeake,VA
Merriam Park,,,,Saint Paul,MN
Anacostia,1063,1250,1438,Washington,DC
Pacific Heights,,,,San Francisco,CA
Kaimuki,,,,Honolulu,HI
Hyde Park,,,,Chicago,IL
Port Richmond,,,,New York,NY
South Acres - Crestmont Park,,,,Houston,TX
East Mount Airy,,,,Philadelphia,PA
Summerfields,,,,Fort Worth,TX
Heart of Chicago,,,,Chicago,IL
Nob Hill,,,,San Francisco,CA
Tioga-Nicetown,,,,Philadelphia,PA
West Elsdon,,,,Chicago,IL
Greater Pinellas Point,,,,Saint Petersburg,FL
Prosperity Church Road,,,,Charlotte,NC
Chicago Lawn,,,,Chicago,IL
Jefferson,,,,Cleveland,OH
Beach Haven,,,,Jacksonville,FL
Kamm's Corner,,,,Cleveland,OH
Bucktown,,,,Chicago,IL
Point Loma Heights,,,,San Diego,CA
Sandalwood,,,,Jacksonville,FL
Golden Glades - The Woods,,,,Jacksonville,FL
Astrodome Area,,,,Houston,TX
"Broadmoor, Anderson Island, Shreve Isle.",,,,Shreveport,LA
Frankford,,,,Baltimore,MD
East Houston,,,,Houston,TX
Downtown,,,,Stamford,CT
Magnolia,,,,Seattle,WA
Maplewood,,,,Rochester,NY
Nuuanu-Punchbowl,,,,Honolulu,HI
Parkway,,,,Sacramento,CA
Mount Washington,,,,Los Angeles,CA
Byberry,,,,Philadelphia,PA
East Sacramento,,,,Sacramento,CA
Metro West,,,,Orlando,FL
Alderwood Manor,,,,Lynnwood,WA
Magnolia Park,,,,Houston,TX
Forest Park East,,,,Columbus,OH
DeVeaux,,,,Toledo,OH
Gowanus,,,,New York,NY
Avondale,,,,Chicago,IL
Ala Moana-Kakaako,,,,Honolulu,HI
East Arlington,,,,Jacksonville,FL
Kenmore,,,,Boston,MA
Trinity - Houston Gardens,,,,Houston,TX
Citrus Grove,,,,Glendale,CA
Inner Richmond,,,,San Francisco,CA
Buffalo,,,,Las Vegas,NV
Prospect Heights,,,,New York,NY
DRNAG,,,,San Bernardino,CA
Dayton's Bluff,,,,Saint Paul,MN
Old Colorado City,,,,Colorado Springs,CO
South Weymouth,,,,Weymouth,MA
Denver Harbor - Port Houston,,,,Houston,TX
Lake Murray,,,,San Diego,CA
Southeast Raleigh,,,,Raleigh,NC
Mission Hill,,,,Boston,MA
Noe Valley,,,,San Francisco,CA
Pecan Park,,,,Houston,TX
New Utrecht,,,,New York,NY
Kuliouou-Kalani Iki,,,,Honolulu,HI
Vance Jackson,,,,San Antonio,TX
Morgan Park,,,,Chicago,IL
Mount Greenwood,,,,Chicago,IL
Mt Pleasant,,,,Cleveland,OH
Northeast Tacoma,,,,Tacoma,WA
Outer Sunset,,,,San Francisco,CA
Portola,,,,San Francisco,CA
Downtown,,,,Houston,TX
Midtown,,,,Atlanta,GA
Great Bridge East,,,,Chesapeake,VA
North Collinwood,,,,Cleveland,OH
Ellet,,,,Akron,OH
Charlestown,,,,Boston,MA
Eastside,,,,Riverside,CA
Upper Roseville,,,,Newark,NJ
Paradise Hills,,,,San Diego,CA
Grays Ferry,,,,Philadelphia,PA
West Grand,,,,Grand Rapids,MI
Greater Avenues,,,,Salt Lake City,UT
Fairbanks - Northwest Crossing,,,,Houston,TX
Cedar Park,,,,Philadelphia,PA
Barney Circle,1600,2250,2400,Washington,DC
Outer Richmond,,,,San Francisco,CA
West Akron,,,,Akron,OH
Bay View,,,,Milwaukee,WI
Inner Sunset,,,,San Francisco,CA
Tampa Palms,,,,Tampa,FL
"Hyde Park Brookwood, Southern Hills",,,,Shreveport,LA
Puritas-Longmead,,,,Cleveland,OH
Upper Clinton Hill,,,,Newark,NJ
Seatack,,,,Virginia Beach,VA
Kenmore,,,,Akron,OH
Whitmer - Trilby,,,,Toledo,OH
Huntridge,,,,Las Vegas,NV
Montclare,,,,Chicago,IL
University Village - Little Italy,,,,Chicago,IL
Fishtown,,,,Philadelphia,PA
Summit-University,,,,Saint Paul,MN
South Broadway,,,,Cleveland,OH
Franklin Park,,,,Austin,TX
Martha Lake,,,,Lynnwood,WA
Greenwood,,,,Seattle,WA
Midvale Park,,,,Tucson,AZ
Encanto,,,,San Diego,CA
Blueberry Hill-Brigadoon-Stoneybrook-Baralto,,,,Lexington,KY
Glenville,,,,Cleveland,OH
Harrowgate,,,,Philadelphia,PA
The Waterfront,,,,Jersey City,NJ
Playa Del Rey,,,,Los Angeles,CA
West End,,,,Providence,RI
Liberty Heights,,,,Springfield,MA
Montavilla,,,,Portland,OR
Baychester,,,,New York,NY
Wallingford,,,,Seattle,WA
Bay Park,,,,San Diego,CA
Buckroe,,,,Hampton,VA
Clearing (W),,,,Chicago,IL
Belaire-Edison,,,,Baltimore,MD
CUF,,,,Cincinnati,OH
